Publisher,Total_Global_Sales
Harmonix Music Systems,800000.0
Square EA,800000.0
NEC Interchannel,780000.0
Men-A-Vision,770000.0
Nihon Falcom Corporation,770000.0
Paradox Interactive,760000.0
Pioneer LDC,740000.0
Gamebridge,730000.0
ArtDink,730000.0
Starfish,720000.0
Quest,710000.0
Data Age,710000.0
Home Entertainment Suppliers,710000.0
Illusion Softworks,700000.0
Media Rings,650000.0
Sting,650000.0
Wanadoo,650000.0
Astragon,640000.0
Elf,640000.0
Seta Corporation,630000.0
Universal Gamex,630000.0
Foreign Media Games,630000.0
Aspyr,620000.0
TDK Core,620000.0
Wizard Video Games,620000.0
Prototype,610000.0
Idea Factory International,610000.0
Nordcurrent,590000.0
Asylum Entertainment,590000.0
ESP,590000.0
Kadokawa Games,580000.0
Mumbo Jumbo,580000.0
CPG Products,540000.0
AQ Interactive,530000.0
BPS,520000.0
The Adventure Company,510000.0
Hect,500000.0
Answer Software,500000.0
Popcorn Arcade,490000.0
Rebellion,490000.0
Pack In Soft,480000.0
Swing! Entertainment,480000.0
Avalon Interactive,480000.0
Activision Blizzard,480000.0
Ultravision,470000.0
Irem Software Engineering,460000.0
Valcon Games,450000.0
Aksys Games,440000.0
Angel Studios,440000.0
PlayV,440000.0
Shogakukan,440000.0
Tetris Online,430000.0
NEC,430000.0
TYO,420000.0
Electronic Arts Victor,420000.0
Jack of All Games,420000.0
Magical Company,410000.0
bitComposer Games,410000.0
P2 Games,400000.0
NCS,400000.0
MTO,400000.0
Microids,400000.0
ValuSoft,390000.0
989 Sports,380000.0
Graffiti,380000.0
Blast! Entertainment Ltd,380000.0
Hip Interactive,360000.0
Performance Designed Products,360000.0
New,360000.0
DSI Games,350000.0
Time Warner Interactive,350000.0
Magix,350000.0
Reef Entertainment,340000.0
ITT Family Games,340000.0
Starpath Corp.,330000.0
Benesse,330000.0
U.S. Gold,330000.0
Cave,330000.0
Evolved Games,320000.0
Indie Games,320000.0
Yacht Club Games,320000.0
CBS Electronics,310000.0
Neko Entertainment,310000.0
Agatsuma Entertainment,310000.0
CokeM Interactive,310000.0
Hackberry,310000.0
Hamster Corporation,300000.0
Rebellion Developments,300000.0
Mad Catz,300000.0
Game Life,300000.0
Media Factory,290000.0
